,Contrast,abbrev,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,T,dof,Tail,p-unc,p-corr,p-adjust,BF10,cohen
241,abbrev * group_label,ATN,relapse,cue,9232867.543874,1982236.063653713,9663882.78644,3556796.7962427703,False,True,-0.2366925232700043,8.0,one-sided,0.40942169554475305,0.4747321823114651,fdr_bh,1.002,-0.14969749573312377
242,abbrev * group_label,ATN,relapse,alcohol,9232867.543874,1982236.063653713,5618184.104194,1177470.3175287377,False,True,3.505703619297574,8.0,one-sided,0.004005921651980474,0.17660889370035654,fdr_bh,12.126,2.2172016476952305
243,abbrev * group_label,ATN,control,cue,8063550.002866,3668467.114858095,9663882.78644,3556796.7962427703,False,True,-0.7003332123988629,8.0,one-sided,0.25178692965360155,0.4357272086077565,fdr_bh,1.145,-0.44292961444857615
244,abbrev * group_label,ATN,control,alcohol,8063550.002866,3668467.114858095,5618184.104194,1177470.3175287377,False,True,1.4192277801003812,8.0,one-sided,0.09679966320446319,0.3606058503466724,fdr_bh,1.749,0.8975984607403595
245,abbrev * group_label,ATN,cue,alcohol,9663882.78644,3556796.7962427703,5618184.104194,1177470.3175287377,False,True,2.414558192567411,8.0,one-sided,0.021103468693358194,0.2845295406644873,fdr_bh,4.124,1.5271006863064929
246,abbrev * group_label,EPI,relapse,control,6112577.3549339995,1641166.2976726491,3945204.6917679994,2138092.3178854873,False,True,1.7980625766831368,8.0,one-sided,0.05493893218871232,0.3425590800692021,fdr_bh,2.362,1.1371946235659753
247,abbrev * group_label,EPI,relapse,cue,6112577.3549339995,1641166.2976726491,4239318.312907999,1827933.0984028783,False,True,1.7051108349121011,8.0,one-sided,0.06328486483872614,0.35066039861458087,fdr_bh,2.186,1.0784067802707182
248,abbrev * group_label,EPI,relapse,alcohol,6112577.3549339995,1641166.2976726491,3008744.035062,1281617.266279543,False,True,3.3330380925810994,8.0,one-sided,0.005168795957349942,0.18797912383286877,fdr_bh,10.196,2.1079983801318876
249,abbrev * group_label,EPI,control,cue,3945204.6917679994,2138092.3178854873,4239318.312907999,1827933.0984028783,False,True,-0.2337952293324103,8.0,one-sided,0.41050785365842446,0.4747321823114651,fdr_bh,1.002,-0.1478650861543648
250,abbrev * group_label,EPI,control,alcohol,3945204.6917679994,2138092.3178854873,3008744.035062,1281617.266279543,False,True,0.8400198673122174,8.0,one-sided,0.212644029689958,0.4209069934429429,fdr_bh,1.221,0.5312752120998064
251,abbrev * group_label,EPI,cue,alcohol,4239318.312907999,1827933.0984028783,3008744.035062,1281617.266279543,False,True,1.2325624973732194,8.0,one-sided,0.12636532019955296,0.3938191018764872,fdr_bh,1.535,0.7795409700409357
252,abbrev * group_label,GENv,relapse,control,24910364.637760002,6813439.22292921,20491949.118242003,13365402.020163095,False,True,0.6585751921721827,8.0,one-sided,0.26433147379179983,0.4374170565577341,fdr_bh,1.126,0.4165195235494381
253,abbrev * group_label,GENv,relapse,cue,24910364.637760002,6813439.22292921,22467497.519079998,10689580.093006654,False,True,0.4309137152436753,8.0,one-sided,0.3389531869622798,0.46366543407323335,fdr_bh,1.044,0.27253376303504656
254,abbrev * group_label,GENv,relapse,alcohol,24910364.637760002,6813439.22292921,16267655.227548,5238157.540888214,False,True,2.248674480403056,8.0,one-sided,0.027340145565638112,0.29390100177150913,fdr_bh,3.528,1.4221866148738647
255,abbrev * group_label,GENv,control,cue,20491949.118242003,13365402.020163095,22467497.519079998,10689580.093006654,False,True,-0.25811436769599544,8.0,one-sided,0.4014173524979987,0.47329906445694264,fdr_bh,1.006,-0.16324585974670663
256,abbrev * group_label,GENv,control,alcohol,20491949.118242003,13365402.020163095,16267655.227548,5238157.540888214,False,True,0.6580052434349791,8.0,one-sided,0.26450529956510077,0.4374170565577341,fdr_bh,1.126,0.4161590563176182
