"case_id","abbrev","signal_density","group_label"
39,"NOT",1632241.37931,"control"
39,"NPC",5914333.33333,"control"
39,"OP",663541.666667,"control"
39,"PPT",3953944.44444,"control"
39,"RN",3428065.32663,"control"
39,"RR",1670402.98507,"control"
39,"SCdg",3549347.82609,"control"
39,"SCdw",2479394.49541,"control"
39,"SCig",3819639.02439,"control"
39,"SCiw",4622787.03704,"control"
39,"SNr",2347931.03448,"control"
39,"VTA",2853657.14286,"control"
39,"VTN",1356000,"control"
39,"IC",4527497.56987,"control"
39,"MEV",5247181.81818,"control"
39,"NB",1723595.2381,"control"
39,"PBG",882413.793103,"control"
39,"SAG",2838058.82353,"control"
39,"SCop",3688562.5,"control"
39,"SCsg",1624724.27984,"control"
39,"PPN",2066880.68182,"control"
39,"CLI",1691736.84211,"control"
39,"DR",4481000,"control"
39,"IF",5007555.55556,"control"
39,"IPN",1957847.22222,"control"
39,"SNc",2055914.28571,"control"
39,"BAC",1352666.66667,"control"
39,"BST",2184816.51376,"control"
39,"GPe",1385769.96198,"control"
39,"GPi",1497875,"control"
39,"MSC",1044926.9103,"control"
39,"TRS",615740.25974,"control"
39,"MA",316017.391304,"control"
39,"SI",1164813.73569,"control"
39,"LS",2535215.08665,"control"
39,"SF",1528212.12121,"control"
39,"CP",2711043.92387,"control"
39,"ACB",2958222.07358,"control"
39,"FS",1434290.07634,"control"
39,"OT",661217.49226,"control"
39,"AAA",701970.588235,"control"
39,"BA",1447913.04348,"control"
39,"CEA",1347039.91131,"control"
39,"IA",1274153.84615,"control"
39,"MEA",1295497.1537,"control"
39,"HIP",1615341.3997,"control"
39,"RHP",2227825.55751,"control"
39,"ACA",2701210.72615,"control"
39,"AI",2467296.47218,"control"
39,"AUD",3662883.59788,"control"
39,"ECT",3700643.21608,"control"
39,"FRP",1387811.76471,"control"
39,"GU",3084052.08333,"control"
39,"ILA",3294731.25,"control"
39,"MO",2901602.75519,"control"
39,"ORB",2648031.20125,"control"
39,"PERI",3888274.80916,"control"
39,"PL",1767997.75785,"control"
39,"PTLp",2976701.45903,"control"
39,"RSP",2792442.37236,"control"
39,"SS",3475523.33136,"control"
39,"TEa",2561219.92819,"control"
39,"VIS",2444494.03494,"control"
39,"VISC",3222146.5721,"control"
39,"AOB",3308833.33333,"control"
39,"AON",2410752.96443,"control"
39,"COA",1377422.31947,"control"
39,"DP",1428558.13953,"control"
39,"MOB",1217432.20339,"control"
39,"NLOT",918063.492063,"control"
39,"PAA",1113543.47826,"control"
39,"PIR",1539953.53704,"control"
39,"TR",2687390.30612,"control"
39,"TT",1738269.84127,"control"
39,"BLAa",1224488.09524,"control"
39,"BLAp",1982502.30415,"control"
39,"BLAv",2560139.53488,"control"
39,"BMA",2088197.22222,"control"
39,"CLA",4666671.71717,"control"
39,"EPd",2847274.39887,"control"
39,"EPv",2936685.71429,"control"
39,"LA",1908044.84305,"control"
39,"PA",922284.482759,"control"
40,"ACVII",2298000,"relapse"
40,"GRN",261833.333333,"relapse"
40,"IRN",191200,"relapse"
40,"MARN",892454.545455,"relapse"
40,"PARN",382410.25641,"relapse"
40,"VI",96000,"relapse"
40,"VII",983966.942149,"relapse"
40,"VNC",4768105.26316,"relapse"
40,"CN",2328635.83815,"relapse"
40,"NTB",4064406.25,"relapse"
40,"B",7899000,"relapse"
40,"DTN",2722310.34483,"relapse"
40,"PCG",4245917.94872,"relapse"
40,"PG",34481993.7888,"relapse"
40,"PRNc",9974768.15182,"relapse"
40,"SG",1033000,"relapse"
40,"SUT",13185666.6667,"relapse"
40,"TRN",26177610.0386,"relapse"
40,"V",12214598.7654,"relapse"
40,"CS",16298111.1111,"relapse"
40,"LC",3038857.14286,"relapse"
40,"LDT",8615418.60465,"relapse"
40,"NI",5254146.34146,"relapse"
40,"PRNr",8988631.47605,"relapse"
40,"SLC",9120333.33333,"relapse"
40,"SLD",11451310.3448,"relapse"
40,"NLL",3513725.80645,"relapse"
40,"PB",12276376.8546,"relapse"
40,"PSV",8265965.88486,"relapse"
40,"SOC",3543134.14634,"relapse"
40,"LHA",15077024.7763,"relapse"
40,"LPO",10277048.9978,"relapse"
40,"PST",25576200,"relapse"
40,"PSTN",29640080,"relapse"
40,"RCH",7954519.60784,"relapse"
40,"STN",16340214.2857,"relapse"
40,"TU",6653000,"relapse"
40,"ZI",14813221.7899,"relapse"
40,"AHN",15430460.274,"relapse"
40,"MBO",8769320.80925,"relapse"
40,"MPN",4065652.63158,"relapse"
40,"PH",23027393.0818,"relapse"
40,"PMv",6882686.27451,"relapse"
40,"PVHd",25172105.2632,"relapse"
40,"VMH",9858777.77778,"relapse"
40,"ADP",13048625,"relapse"
40,"AVP",3161666.66667,"relapse"
40,"AVPV",917000,"relapse"
40,"DMH",18599348.6239,"relapse"
40,"MEPO",4795144.92754,"relapse"
40,"MPO",6284779.25532,"relapse"
40,"PD",14020000,"relapse"
40,"PS",11441384.6154,"relapse"
40,"PVp",1597901.63934,"relapse"
40,"PVpo",1919542.85714,"relapse"
40,"SBPV",12669791.0448,"relapse"
40,"SFO",183750,"relapse"
40,"VLPO",3737100,"relapse"
40,"ARH",3468020,"relapse"
40,"PVH",14075397.8495,"relapse"
40,"PVa",2097166.66667,"relapse"
40,"PVi",2154021.73913,"relapse"
40,"SO",5367636.36364,"relapse"
40,"ATN",10982606.5789,"relapse"
40,"EPI",8778235.57692,"relapse"
40,"GENv",32923436.7089,"relapse"
40,"ILM",11180670.6444,"relapse"
40,"LAT",9646102.77136,"relapse"
40,"MED",10421462.5749,"relapse"
40,"MTN",29317779.661,"relapse"
40,"RT",5168346.08031,"relapse"
40,"GENd",10999695.8637,"relapse"
40,"PP",9006642.85714,"relapse"
40,"SPA",11565625,"relapse"
40,"SPF",12940290.3226,"relapse"
40,"VENT",12023099.1561,"relapse"
40,"CUN",15499783.3333,"relapse"
40,"EW",64878461.5385,"relapse"
40,"III",23924714.2857,"relapse"
40,"IV",25059666.6667,"relapse"
40,"LT",7310000,"relapse"
40,"MRN",13253046.5241,"relapse"
40,"ND",30222900,"relapse"
40,"PRC",33713666.6667,"relapse"
40,"APN",13577670.6444,"relapse"
40,"MPT",23533847.8261,"relapse"
40,"NOT",16483812.5,"relapse"
40,"NPC",28655123.5955,"relapse"
40,"OP",18055793.1034,"relapse"
40,"PPT",19589576.9231,"relapse"
40,"RN",11118326.4463,"relapse"
40,"RR",6785900,"relapse"
40,"SCdg",14674215.6448,"relapse"
40,"SCdw",11930715.3285,"relapse"
40,"SCig",24393876.2575,"relapse"
40,"SCiw",20548833.3333,"relapse"
40,"SNr",5012209.38023,"relapse"
40,"VTA",13434585.1064,"relapse"
40,"VTN",7524642.85714,"relapse"
40,"IC",14982242.4409,"relapse"
40,"MEV",13668076.9231,"relapse"
40,"NB",8430843.13725,"relapse"
40,"PBG",1305656.25,"relapse"
40,"SAG",6382648.64865,"relapse"
40,"SCop",26260444.898,"relapse"
40,"SCsg",13052330.494,"relapse"
40,"PPN",10071544.9735,"relapse"
40,"CLI",11097360,"relapse"
40,"DR",28878777.7778,"relapse"
40,"IF",47373900,"relapse"
40,"IPN",9892989.01099,"relapse"
40,"SNc",6703597.56098,"relapse"
40,"BAC",5864000,"relapse"
40,"BST",17512259.3168,"relapse"
40,"GPe",5680831.05023,"relapse"
40,"GPi",7338180.72289,"relapse"
40,"MSC",9448029.94012,"relapse"
40,"TRS",3888875,"relapse"
40,"MA",6264321.16788,"relapse"
40,"SI",10121636.4386,"relapse"
40,"LS",17002462.4796,"relapse"
40,"SF",12058941.6667,"relapse"
40,"CP",15184652.0222,"relapse"
40,"ACB",20330725.85,"relapse"
40,"FS",12988921.3483,"relapse"
40,"OT",11771922.3861,"relapse"
40,"AAA",10061058.1395,"relapse"
40,"BA",14662357.1429,"relapse"
40,"CEA",18243225.3788,"relapse"
40,"IA",22530701.1494,"relapse"
40,"MEA",17143524.2718,"relapse"
40,"HIP",9534070.87657,"relapse"
40,"RHP",11210399.6026,"relapse"
40,"ACA",20352738.117,"relapse"
40,"AI",13938724.4867,"relapse"
40,"AUD",17857962.0517,"relapse"
40,"ECT",15389876.7123,"relapse"
40,"FRP",7522481.08108,"relapse"
40,"GU",9250020.11494,"relapse"
40,"ILA",29979455.5874,"relapse"
40,"MO",11395544.1941,"relapse"
40,"ORB",25227364.9635,"relapse"
40,"PERI",9900103.39257,"relapse"
40,"PL",20931818.3613,"relapse"
40,"PTLp",22629592.0354,"relapse"
40,"RSP",13023082.769,"relapse"
40,"SS",17162850.1647,"relapse"
40,"TEa",21883887.9528,"relapse"
40,"VIS",30590878.5647,"relapse"
40,"VISC",9744454.00943,"relapse"
40,"AOB",8067235.29412,"relapse"
40,"AON",25635806.5651,"relapse"
40,"COA",14430802.1878,"relapse"
40,"DP",11062466.6667,"relapse"
40,"MOB",48204277.7778,"relapse"
40,"NLOT",13032611.9403,"relapse"
40,"PAA",13980621.5139,"relapse"
40,"PIR",15863838.8224,"relapse"
40,"TR",10328210.1911,"relapse"
40,"TT",16256411.4114,"relapse"
40,"BLAa",19672470.9302,"relapse"
40,"BLAp",16015215.7534,"relapse"
40,"BLAv",12010636.3636,"relapse"
40,"BMA",19870381.4655,"relapse"
40,"CLA",41431110.0917,"relapse"
40,"EPd",26480755.3325,"relapse"
40,"EPv",17097427.1845,"relapse"
40,"LA",17803686.8327,"relapse"
40,"PA",16464880,"relapse"
41,"VII",6197000,"cue"
41,"CN",238425.531915,"cue"
41,"NTB",9177200,"cue"
41,"B",88000,"cue"
41,"DTN",119476.190476,"cue"
41,"PCG",96613.6363636,"cue"
41,"PG",33423801.3937,"cue"
41,"PRNc",3755929.73651,"cue"
41,"SUT",76595.7446809,"cue"
41,"TRN",15736811.8812,"cue"
41,"V",145511.811024,"cue"
41,"CS",3353638.29787,"cue"
41,"LDT",50000,"cue"
41,"NI",87571.4285714,"cue"
41,"PRNr",4948606.57476,"cue"
41,"SLC",17636.3636364,"cue"
41,"SLD",171950,"cue"
41,"NLL",1452635.62753,"cue"
41,"PB",152127.962085,"cue"
41,"PSV",3007405.30303,"cue"
41,"SOC",3673416.66667,"cue"
41,"LHA",10633468.9153,"cue"
41,"LPO",6946145.88235,"cue"
41,"PST",21287600,"cue"
41,"PSTN",16766583.3333,"cue"
41,"RCH",3741047.16981,"cue"
41,"STN",8107015.38462,"cue"
41,"TU",3862331.79724,"cue"
41,"ZI",12263740.668,"cue"
41,"AHN",10847468.4211,"cue"
41,"MBO",5218273.80952,"cue"
